run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR16931979	SAMN23098195	SRX13124115	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/079/SRR16931979/SRR16931979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/079/SRR16931979/SRR16931979_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/079/SRR16931979
SRR16931981	SAMN23098196	SRX13124116	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/081/SRR16931981/SRR16931981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/081/SRR16931981/SRR16931981_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/081/SRR16931981
SRR16931982	SAMN23098196	SRX13124116	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/082/SRR16931982/SRR16931982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/082/SRR16931982/SRR16931982_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/082/SRR16931982
SRR16931984	SAMN23098196	SRX13124116	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/084/SRR16931984/SRR16931984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/084/SRR16931984/SRR16931984_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/084/SRR16931984
SRR16931987	SAMN23098196	SRX13124116	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/087/SRR16931987/SRR16931987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/087/SRR16931987/SRR16931987_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/087/SRR16931987
SRR16931989	SAMN23098197	SRX13124117	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/089/SRR16931989/SRR16931989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/089/SRR16931989/SRR16931989_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/089/SRR16931989
SRR16931990	SAMN23098197	SRX13124117	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/090/SRR16931990/SRR16931990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/090/SRR16931990/SRR16931990_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/090/SRR16931990
SRR16931991	SAMN23098197	SRX13124117	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/091/SRR16931991/SRR16931991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/091/SRR16931991/SRR16931991_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/091/SRR16931991
SRR16931994	SAMN23098198	SRX13124118	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16931994/SRR16931994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16931994/SRR16931994_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/094/SRR16931994
SRR16931962	SAMN23098192	SRX13124113	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/062/SRR16931962/SRR16931962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/062/SRR16931962/SRR16931962_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/062/SRR16931962
SRR16931963	SAMN23098192	SRX13124113	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/063/SRR16931963/SRR16931963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/063/SRR16931963/SRR16931963_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/063/SRR16931963
